,stature,weightkg,chestcircumference,waistcircumference,size,color
502,1727,847,1095,1029,xxl,blue
503,1667,781,1032,1052,xl,royalblue
504,1519,552,981,848,xl,royalblue
505,1700,832,1113,955,xxl,blue
506,1628,694,860,807,medium,lightsteelblue
507,1600,786,1068,855,xl,royalblue
508,1747,851,1025,969,xl,royalblue
509,1583,678,925,900,large,cornflowerblue
510,1662,645,927,800,large,cornflowerblue
511,1697,618,873,720,large,cornflowerblue
512,1732,843,948,942,large,cornflowerblue
513,1647,793,982,1015,xl,royalblue
514,1589,727,1029,1019,xl,royalblue
515,1545,645,965,829,large,cornflowerblue
516,1659,755,1028,937,xl,royalblue
517,1522,555,891,885,large,cornflowerblue
518,1651,779,997,816,xl,royalblue
519,1767,763,1016,922,xl,royalblue
520,1608,785,1008,965,xl,royalblue
521,1605,717,997,931,xl,royalblue
522,1734,674,902,895,large,cornflowerblue
523,1661,730,972,829,xl,royalblue
524,1589,754,960,980,large,cornflowerblue
525,1741,776,912,800,large,cornflowerblue
526,1670,810,1079,1012,xxl,blue
527,1680,667,865,801,large,cornflowerblue
528,1736,791,957,915,large,cornflowerblue
529,1682,763,990,937,xl,royalblue
530,1714,650,936,811,large,cornflowerblue
531,1546,513,856,691,medium,lightsteelblue
532,1634,591,917,813,large,cornflowerblue
533,1568,658,930,890,large,cornflowerblue
534,1536,504,876,782,large,cornflowerblue
535,1584,685,962,927,large,cornflowerblue
536,1646,629,882,874,large,cornflowerblue
537,1664,568,891,765,large,cornflowerblue
538,1658,661,902,800,large,cornflowerblue
539,1738,683,910,734,large,cornflowerblue
540,1745,791,923,775,large,cornflowerblue
541,1595,907,1072,1061,xxl,blue
542,1625,783,987,926,xl,royalblue
543,1623,709,967,865,large,cornflowerblue
544,1518,509,841,752,medium,lightsteelblue
545,1525,623,1008,877,xl,royalblue
546,1557,664,919,900,large,cornflowerblue
547,1730,921,1093,1054,xxl,blue
548,1601,671,983,903,xl,royalblue
549,1597,547,839,728,medium,lightsteelblue
550,1743,784,1027,947,xl,royalblue
551,1683,590,925,754,large,cornflowerblue
552,1752,763,1015,921,xl,royalblue
553,1618,709,967,851,large,cornflowerblue
554,1620,703,1018,851,xl,royalblue
555,1649,581,862,790,large,cornflowerblue
556,1709,593,846,764,medium,lightsteelblue
557,1587,753,1044,992,xl,royalblue
558,1632,662,917,816,large,cornflowerblue
559,1527,683,1057,965,xl,royalblue
560,1660,758,1034,975,xl,royalblue
561,1632,613,864,734,large,cornflowerblue
562,1742,730,942,820,large,cornflowerblue
563,1709,700,885,848,large,cornflowerblue
