,stature,weightkg,chestcircumference,waistcircumference,size,color,nearest
367,1561,589,920,904,large,3.0,151.79591562357663
368,1623,643,925,825,large,3.0,228.86240407720967
369,1661,760,1074,901,xxl,5.0,349.31504405049606
370,1495,526,928,841,large,3.0,76.16429609731846
371,1672,769,920,860,large,3.0,362.41550739448223
372,1664,609,894,765,large,3.0,228.42285349763057
373,1534,568,952,812,large,3.0,122.80065146407001
374,1673,775,1010,903,xl,4.0,368.17658806610723
375,1568,638,1001,925,xl,4.0,199.9199839935968
376,1595,831,1083,968,xxl,5.0,392.6652518367267
377,1697,962,1053,1095,xl,4.0,548.5918336978777
378,1635,719,1053,1045,xl,4.0,300.97508202507396
379,1596,618,920,757,large,3.0,193.49418595916518
380,1505,575,903,930,large,3.0,125.09996003196804
381,1648,626,964,833,large,3.0,229.95651762887695
382,1674,622,913,807,large,3.0,244.6630335788388
383,1560,846,1112,1056,xxl,5.0,400.51966243868725
384,1664,618,814,711,medium,1.0,234.77648945326703
385,1620,692,924,778,large,3.0,270.1184925176357
386,1567,469,764,637,small,2.0,69.6419413859206
387,1689,674,873,790,large,3.0,293.0818998164165
388,1596,644,861,840,large,3.0,216.453228204155
389,1628,703,985,858,xl,4.0,283.5365937581955
390,1628,743,955,941,large,3.0,319.7389560250674
391,1627,648,918,840,large,3.0,235.22967499871268
392,1582,548,830,790,medium,1.0,127.7810627597063
393,1640,577,900,725,large,3.0,189.02116283633427
394,1592,671,996,908,xl,4.0,239.38462774372127
395,1633,691,1020,942,xl,4.0,275.26351011349107
396,1613,698,956,940,large,3.0,272.5307322119838
397,1641,744,1032,991,xl,4.0,326.06287737183453
398,1596,621,892,807,large,3.0,196.1045639448506
399,1555,639,978,849,xl,4.0,196.84003657792792
400,1497,579,915,858,large,3.0,129.0348790056394
401,1612,708,973,889,xl,4.0,281.26144421160893
402,1509,542,900,820,large,3.0,92.43916918709297
403,1475,480,825,740,medium,1.0,39.05124837953327
404,1633,557,951,808,large,3.0,170.6985647274165
405,1631,724,976,967,xl,4.0,303.70544940781025
406,1626,661,945,909,large,3.0,245.75801105966008
407,1752,785,946,948,large,3.0,419.2004293890931
408,1618,676,976,848,xl,4.0,254.95097567963924
409,1634,530,887,721,large,3.0,156.06408939919524
410,1629,601,900,731,large,3.0,198.600100704909
411,1547,578,880,780,large,3.0,136.35615130972272
412,1623,607,895,753,large,3.0,199.44422779313518
413,1676,601,870,774,large,3.0,231.89868477419185
414,1560,516,825,679,medium,1.0,89.19641248391103
415,1536,566,904,814,large,3.0,121.45781160551181
416,1595,576,908,783,large,3.0,157.8005069700348
417,1659,807,1005,860,xl,4.0,390.8068576675696
418,1573,572,975,923,xl,4.0,142.1724305201258
419,1713,520,766,657,small,2.0,224.20749318432692
420,1540,612,834,819,medium,1.0,166.86521506892922
421,1541,585,936,805,large,3.0,141.088624630053
422,1622,875,1052,1010,xl,4.0,442.16399672519697
423,1793,773,1015,905,xl,4.0,436.09402655849345
424,1494,580,963,1003,large,3.0,130.13838787997952
425,1585,673,983,902,xl,4.0,238.65037188322168
426,1664,826,1100,957,xxl,5.0,410.20970246935894
427,1522,578,873,868,large,3.0,129.87686476043376
428,1557,758,1019,966,xl,4.0,313.22994748267604
429,1567,567,916,745,large,3.0,134.82581355215328
430,1573,640,987,860,xl,4.0,203.54115063052976
431,1637,683,942,797,large,3.0,270.29243422633937
432,1740,632,881,730,large,3.0,301.20424963801554
433,1564,658,931,853,large,3.0,217.6235281397671
434,1586,551,830,726,medium,1.0,132.6536844569347
435,1566,593,883,795,large,3.0,157.4960316960399
436,1711,1166,1266,1305,xxxl,6.0,746.4428980169884
437,1479,358,695,615,small,2.0,94.36630754670864
438,1592,649,984,911,xl,4.0,219.23731434224422
439,1666,650,935,732,large,3.0,259.9153708421262
440,1629,548,850,715,medium,1.0,162.00308639035245
441,1637,705,926,878,large,3.0,289.471933009057
442,1676,763,967,903,large,3.0,359.0891254271006
443,1672,784,1026,870,xl,4.0,375.6860391337426
444,1537,772,976,972,xl,4.0,324.11880537852164
445,1663,657,899,793,large,3.0,263.47295876427245
446,1582,537,888,798,large,3.0,119.55333537798099
447,1499,667,1010,955,xl,4.0,217.00230413523263
448,1545,599,967,855,large,3.0,155.64703659241314
449,1603,649,975,914,xl,4.0,224.07588000496617
450,1580,788,1066,938,xl,4.0,347.3384516577455
451,1608,752,1062,960,xl,4.0,320.7304163935812
452,1561,643,941,900,large,3.0,202.41047403728888
453,1642,613,880,780,large,3.0,216.17816726024856
454,1600,847,1027,935,xl,4.0,409.40078163090993
455,1496,509,826,768,medium,1.0,59.135437767890075
456,1769,889,1047,965,xl,4.0,514.8611463297653
457,1668,611,961,757,large,3.0,232.69078194032525
458,1571,532,910,784,large,3.0,108.4665847162157
459,1683,870,1094,1067,xxl,5.0,458.1364425583278
460,1603,675,1060,960,xl,4.0,247.45504642257754
461,1501,575,941,840,large,3.0,125.00399993600205
462,1632,568,884,787,large,3.0,177.05366418123066
463,1611,504,793,720,medium,1.0,123.4382436686459
464,1688,646,930,840,large,3.0,271.5879231482873
465,1728,682,920,812,large,3.0,325.28141662259156
466,1661,781,999,875,xl,4.0,368.0787959119623
467,1549,675,966,835,large,3.0,230.27375013231534
468,1561,557,857,686,medium,1.0,123.1665539016173
469,1697,894,1083,1034,xxl,5.0,485.7417009069738
470,1483,442,780,647,small,2.0,18.788294228055936
471,1587,476,802,678,medium,1.0,90.80198235721508
472,1659,737,940,850,large,3.0,328.10059433045836
473,1684,776,972,851,xl,4.0,374.34208953843273
474,1593,620,900,770,large,3.0,193.77564346429094
475,1573,624,901,826,large,3.0,188.692872149427
476,1718,795,976,895,xl,4.0,408.1041533726409
477,1519,600,885,805,large,3.0,151.19854496654392
478,1529,475,820,696,medium,1.0,38.28837943815329
479,1644,523,852,706,medium,1.0,161.4465855941215
480,1628,701,934,933,large,3.0,281.7534383108749
481,1595,660,957,883,large,3.0,230.4886114323222
482,1628,510,780,672,medium,1.0,141.36477637657833
483,1698,727,944,866,large,3.0,340.4893537248999
484,1545,583,970,777,large,3.0,140.40655255364686
485,1524,452,826,674,medium,1.0,24.08318915758459
486,1583,588,906,749,large,3.0,161.0372627685903
487,1569,702,1016,895,xl,4.0,261.27571643763605
488,1463,626,998,902,xl,4.0,179.84715733088473
489,1565,552,896,783,large,3.0,120.95040305844375
490,1525,622,962,827,large,3.0,173.80736463107655
491,1613,612,863,860,large,3.0,197.51708786836647
492,1558,582,898,815,large,3.0,144.18044250174847
493,1611,716,992,1004,xl,4.0,288.2308102892541
494,1645,707,1035,872,xl,4.0,295.0830391601659
495,1701,1047,1168,1172,xxl,5.0,629.9285673788735
496,1634,766,1154,962,xxl,5.0,343.237527085836
497,1587,665,952,955,large,3.0,231.93533581582605
498,1549,676,991,1032,xl,4.0,231.25094594401122
499,1606,792,1091,1042,xxl,5.0,358.05027579936313
500,1508,652,1005,966,xl,4.0,202.15835377248203
501,1560,517,886,752,large,3.0,89.9388681271896
502,1739,865,1060,954,xl,4.0,478.90082480613876
503,1809,898,1113,1003,xxl,5.0,544.2288121737033
504,1764,970,1090,977,xxl,5.0,583.1775029954431
505,1606,663,940,855,large,3.0,237.91805311913595
506,1567,594,952,863,large,3.0,158.8238017426859
507,1594,657,1059,917,xl,4.0,227.343352662883
508,1624,641,920,792,large,3.0,227.72132091659753
509,1580,740,1021,906,xl,4.0,300.83217912982644
510,1615,714,1089,965,xxl,5.0,287.9600666759195
511,1561,668,1042,903,xl,4.0,226.37358503146962
512,1674,678,925,817,large,3.0,286.81004166521086
513,1583,652,1047,941,xl,4.0,218.38727069131113
514,1719,768,990,960,xl,4.0,386.1152677633973
515,1687,832,1082,1043,xxl,5.0,425.31517725094176
516,1613,717,1016,971,xl,4.0,289.9275771636772
517,1616,632,922,837,large,3.0,215.82400237230334
518,1641,610,902,891,large,3.0,213.26274873967088
